R L' BR B, 4
R L' BR B', 4
R L' BR D, 4
R L' BR D', 4
R L' BR BL, 4
R L' BR BL', 4
R L' BR R, 4
R L' BR R', 4
R L' BR' B, 4
R L' BR' B', 4
R L' BR' D, 4
R L' BR' D', 4
R L' BR' BL, 4
R L' BR' BL', 4
R L' BR' R', 4
R L' BL D', 4
R L' BL B, 4
R L' BL B', 4
R L' BL R, 4
R L' BL R', 4
R L' BL' D, 4
R L' BL' D', 4
R L' BL' B, 4
R L' BL' B', 4
R L' BL' L, 4
R L' BL' L', 4
R L' BL' R', 4
R L' R B, 4
R L' R L, 4
R L' R L', 4
R L' R F, 4
R L' R D, 4
R L' R D', 4
R L' R' B', 4
R L' R' U, 4
R L' R' U', 4
R L' R' L, 4
R L' R' D, 4
R L' R' D', 4
R B R F, 4
R B R F', 4
R B R L, 4
R B R L', 4
R B R BL, 4
R B R BL', 4
R B R B, 4
R B R U, 4
R B R U', 4
R B R D, 4
R B R D', 4
R B R' L, 4
R B R' L', 4
R B R' BL, 4
R B R' BL', 4
R B R' B, 4
R B R' B', 4
R B R' U, 4
R B R' U', 4
R B R' D, 4
R B R' D', 4
R B L D, 4
R B L D', 4
R B L BL', 4
R B L R, 4
R B L R', 4
R B L BR, 4
R B L BR', 4
R B L F, 4
R B L B, 4
R B L B', 4
R B L' B, 4
R B L' B', 4
R B L' D, 4
R B L' D', 4
R B L' BR, 4
R B L' BR', 4
R B L' BL, 4
R B BL L, 4
R B BL L', 4
R B BL B, 4
R B BL B', 4
R B BL U, 4
R B BL U', 4
R B BL D, 4
R B BL D', 4
R B BL' L', 4
R B BL' B, 4
R B BL' B', 4
R B BL' BR', 4
R B BL' U', 4
R B BL' D, 4
R B BL' D', 4
R B BR R, 4
R B BR R', 4
R B BR B, 4
R B BR B', 4
R B BR U, 4
R B BR U', 4
R B BR D, 4
R B BR D', 4
R B BR' B, 4
R B BR' B', 4
R B BR' U, 4
