Setup,Movecount,Solution
R D' BRw Dw,4,
R D' BRw Dw',4,
R D' BRw D,4,
R D' BRw D',4,
R D' BRw' R,4,
R D' BRw' R',4,
R D' BRw' F,4,
R D' BRw' F',4,
R D' BRw' B,4,
R D' BRw' B',4,
R D' BRw' BR',4,
R D' BRw' Dw,4,
R D' BRw' Dw',4,
R D' BRw' D,4,
R D' BRw' D',4,
R D' BR B,4,
R D' BR D,4,
R D' BR D',4,
R D' BR' R,4,
R D' BR' R',4,
R D' BR' B,4,
R D' BR' B',4,
R' F R F,4,
R' F R BRw,4,
R' F R BRw',4,
R' F R B,4,
R' F R B',4,
R' F R Dw',4,
R' F R' F',4,
R' F R' BRw,4,
R' F R' BRw',4,
R' F R' B,4,
R' F R' B',4,
R' F R' BR,4,
R' F R' Dw',4,
R' F R' D,4,
R' F R' D',4,
R' F BRw R',4,
R' F BRw F,4,
R' F BRw F',4,
R' F BRw B,4,
R' F BRw B',4,
R' F BRw Dw,4,
R' F BRw Dw',4,
R' F BRw' R,4,
R' F BRw' R',4,
R' F BRw' F,4,
R' F BRw' F',4,
R' F BRw' BL,4,
R' F BRw' BL',4,
R' F BRw' B,4,
R' F BRw' B',4,
R' F BRw' Dw,4,
R' F BRw' Dw',4,
R' F BRw' D',4,
R' F B R',4,
R' F B BRw,4,
R' F B BRw',4,
R' F B BL',4,
R' F B Dw,4,
R' F B Dw',4,
R' F B D,4,
R' F B D',4,
R' F B' R,4,
R' F B' BRw,4,
R' F B' BRw',4,
R' F B' BR,4,
R' F B' Dw,4,
R' F B' Dw',4,
R' F B' D,4,
R' BRw R BRw,4,
R' BRw R BRw',4,
R' BRw R BL',4,
R' BRw R B',4,
R' BRw R BR,4,
R' BRw R BR',4,
R' BRw R Dw,4,
R' BRw R Dw',4,
R' BRw R' F,4,
R' BRw R' F',4,
R' BRw R' BL,4,
R' BRw R' BL',4,
R' BRw R' B,4,
R' BRw R' B',4,
R' BRw R' BR,4,
R' BRw R' BR',4,
R' BRw R' Dw,4,
R' BRw R' Dw',4,
R' BRw R' D,4,
R' BRw R' D',4,
R' BRw F BL,4,
R' BRw F BL',4,
R' BRw F B',4,
R' BRw F Dw,4,
R' BRw F Dw',4,
R' BRw F' R',4,
R' BRw F' B,4,
R' BRw F' B',4,
R' BRw F' Dw,4,
R' BRw F' Dw',4,
R' BRw BL BRw,4,
R' BRw BL B,4,
R' BRw BL B',4,
R' BRw BL Dw,4,
R' BRw BL Dw',4,
R' BRw BL' BRw,4,
R' BRw BL' B',4,
R' BRw BL' Dw,4,
R' BRw BL' Dw',4,
R' BRw B R,4,
R' BRw B BRw',4,
R' BRw B BL,4,
R' BRw B BL',4,
R' BRw B Dw,4,
R' BRw B Dw',4,
R' BRw B D,4,
R' BRw B D',4,
R' BRw B' R',4,
R' BRw B' BRw',4,
R' BRw B' BL,4,
R' BRw B' BR,4,
R' BRw B' BR',4,
R' BRw B' Dw,4,
R' BRw B' Dw',4,
R' BRw B' D,4,
R' BRw B' D',4,
R' BRw Dw R,4,
R' BRw Dw R',4,
R' BRw Dw BRw,4,
